creator_id,topic,recent_video_transcript,posting_cadence_days,views_90d,clicks,leads,qualified_leads,enrollments,refunds,geography,language,category_tag,click_rate,lead_rate,qualification_rate,enrollment_rate
C28,Productivity,UI/UX design principles for beginners,10.3,3133,44,2,1,0,0,INDIA,English,beginner-friendly,0.014044047239067986,0.045454545454545456,0.5,0.0
C29,Crypto,Digital marketing strategies for small businesses,8.0,16846,277,7,2,0,0,INDIA,English,tutorial,0.016443072539475245,0.02527075812274368,0.2857142857142857,0.0
C30,AI Tools,Complete Python tutorial for data science beginners with practical examples,5.9,14092,379,24,13,5,0,INDIA,English,deep-dive,0.026894692023843314,0.0633245382585752,0.5416666666666666,0.38461538461538464
C31,Career Advice,Feature engineering techniques for better machine learning models,5.9,1652,39,2,1,0,0,INDIA,English,advanced;deep-dive,0.02360774818401937,0.05128205128205128,0.5,0.0
C32,Data Science,Career roadmap for aspiring data scientists in 2024,3.3,17826,430,16,9,3,0,INDIA,English,deep-dive;practical,0.02412206888814092,0.037209302325581395,0.5625,0.3333333333333333
C33,EdTech;Cooking,Data visualization masterclass using Python matplotlib and seaborn,7.7,3628,88,6,3,1,0,INDIA,English,advanced,0.024255788313120176,0.06818181818181818,0.5,0.3333333333333333
C34,Programming,Complete Python tutorial for data science beginners with practical examples,6.9,14504,406,19,15,5,0,INDIA,English,practical;deep-dive,0.027992277992277992,0.046798029556650245,0.7894736842105263,0.3333333333333333
C35,Machine Learning,End-to-end data science project walkthrough from data to deployment,5.0,2343,47,3,1,0,0,INDIA,English,how-to,0.020059752454118653,0.06382978723404255,0.3333333333333333,0.0
C36,Python;Gaming,Career roadmap for aspiring data scientists in 2024,10.1,14609,378,20,15,6,0,INDIA,English,practical,0.025874460948730235,0.05291005291005291,0.75,0.4
C37,Travel;Statistics,Digital marketing strategies for small businesses,0.5,4509,58,2,1,0,0,INDIA,English,beginner-friendly;practical;deep-dive,0.012863162563761367,0.034482758620689655,0.5,0.0
C38,Design;Statistics,Productivity hacks for remote workers,3.7,29912,545,22,11,2,0,INDIA,English,tips,0.018220112329499865,0.04036697247706422,0.5,0.18181818181818182
C39,Machine Learning,Career roadmap for aspiring data scientists in 2024,8.9,833,17,1,1,0,0,INDIA,English,how-to;tips,0.02040816326530612,0.058823529411764705,1.0,0.0
C40,Machine Learning,Breaking into data science without a technical background,10.7,74969,1818,95,47,14,1,INDIA,English,case-study;practical,0.024250023342981767,0.052255225522552254,0.49473684210526314,0.2978723404255319
C41,Python,"Statistics for data science - probability, distributions, and hypothesis testing",3.9,1380,26,1,1,0,0,INDIA,English,review,0.01884057971014493,0.038461538461538464,1.0,0.0
C42,Analytics,Complete Python tutorial for data science beginners with practical examples,8.7,500,10,1,1,0,0,INDIA,English,tips;advanced;review,0.02,0.1,1.0,0.0
C43,Statistics;Health,Essential tools every data scientist should know,0.6,1458,23,1,1,0,0,INDIA,English,tips,0.01577503429355281,0.043478260869565216,1.0,0.0
C44,Crypto;Machine Learning,Gaming industry insights and career opportunities,9.5,1038,10,1,1,0,0,INDIA,English,advanced;tips,0.009633911368015413,0.1,1.0,0.0
C45,Productivity;Python,Digital marketing strategies for small businesses,6.6,500,5,1,1,0,0,INDIA,English,review;deep-dive;beginner-friendly,0.01,0.2,1.0,0.0
C46,Cooking;Career Advice,Budget travel guide across India,3.9,3147,50,1,1,0,0,INDIA,English,review;advanced;tutorial,0.01588814744200826,0.02,1.0,0.0
C47,Career Advice;Cooking,Machine learning fundamentals explained with real-world projects,10.4,7305,194,13,7,2,0,INDIA,English,case-study,0.026557152635181384,0.06701030927835051,0.5384615384615384,0.2857142857142857
C48,Analytics,Data visualization masterclass using Python matplotlib and seaborn,2.0,19283,479,29,12,4,0,INDIA,English,case-study;deep-dive,0.024840533112067624,0.060542797494780795,0.41379310344827586,0.3333333333333333
C49,Analytics,Breaking into data science without a technical background,9.8,15370,393,29,17,6,0,INDIA,English,how-to,0.02556929082628497,0.0737913486005089,0.5862068965517241,0.35294117647058826
C50,Marketing,Fitness routines for desk workers,8.2,4895,73,3,1,0,0,INDIA,English,beginner-friendly;interview;deep-dive,0.01491317671092952,0.0410958904109589,0.3333333333333333,0.0
C51,SQL,Complete Python tutorial for data science beginners with practical examples,8.7,4216,108,4,2,0,0,INDIA,English,deep-dive;case-study;how-to,0.025616698292220113,0.037037037037037035,0.5,0.0
C52,EdTech,Breaking into data science without a technical background,1.5,5850,134,7,4,1,0,INDIA,English,how-to,0.022905982905982905,0.05223880597014925,0.5714285714285714,0.25
C53,EdTech,Essential tools every data scientist should know,9.2,3498,85,5,2,0,0,INDIA,English,tutorial,0.024299599771297885,0.058823529411764705,0.4,0.0
C54,Python,Machine learning fundamentals explained with real-world projects,9.2,100000,2017,153,75,41,5,INDIA,English,case-study;review,0.02017,0.07585523054040655,0.49019607843137253,0.5466666666666666
C55,Finance,Cryptocurrency basics and investment strategies,6.1,6683,106,4,1,0,0,INDIA,English,case-study,0.01586114020649409,0.03773584905660377,0.25,0.0
C56,EdTech;Design,Machine learning fundamentals explained with real-world projects,1.1,2524,45,2,1,0,0,INDIA,English,review;how-to,0.017828843106180665,0.044444444444444446,0.5,0.0
C57,SQL;Web Dev,"Statistics for data science - probability, distributions, and hypothesis testing",11.8,10319,232,13,7,3,0,INDIA,English,advanced;beginner-friendly,0.02248279872080628,0.05603448275862069,0.5384615384615384,0.42857142857142855
C58,Productivity;EdTech,Productivity hacks for remote workers,10.6,20599,321,15,4,1,0,INDIA,English,beginner-friendly,0.015583280741783582,0.04672897196261682,0.26666666666666666,0.25
C59,AI Tools,End-to-end data science project walkthrough from data to deployment,1.2,9521,229,14,9,3,0,INDIA,English,review;tips,0.0240520953681336,0.0611353711790393,0.6428571428571429,0.3333333333333333
C60,Crypto,Fitness routines for desk workers,1.9,13840,182,7,3,0,0,INDIA,English,interview;case-study;tutorial,0.01315028901734104,0.038461538461538464,0.42857142857142855,0.0
C61,Machine Learning,Complete Python tutorial for data science beginners with practical examples,2.1,3768,92,6,3,1,0,INDIA,English,interview;review,0.024416135881104035,0.06521739130434782,0.5,0.3333333333333333
C62,Data Science,Data visualization masterclass using Python matplotlib and seaborn,1.1,3045,76,4,2,0,0,INDIA,English,deep-dive;beginner-friendly,0.02495894909688013,0.05263157894736842,0.5,0.0
C63,Cooking,Web development trends and best practices,10.9,2748,41,1,1,0,0,INDIA,English,practical,0.014919941775836972,0.024390243902439025,1.0,0.0
C64,Programming;Travel,Complete Python tutorial for data science beginners with practical examples,10.9,1611,37,2,1,0,0,INDIA,English,practical;advanced;review,0.022967101179391682,0.05405405405405406,0.5,0.0
C65,AI Tools,Data visualization masterclass using Python matplotlib and seaborn,8.5,7014,167,10,4,1,0,INDIA,English,deep-dive;beginner-friendly,0.023809523809523808,0.059880239520958084,0.4,0.25
C66,Programming,Data visualization masterclass using Python matplotlib and seaborn,10.0,34288,800,49,29,8,0,INDIA,English,practical,0.02333177788147457,0.06125,0.5918367346938775,0.27586206896551724
C67,Fitness,Healthy cooking recipes for busy professionals,13.3,37874,763,17,8,2,0,INDIA,English,review,0.020145746422347784,0.022280471821756225,0.47058823529411764,0.25
C68,Analytics;Cooking,Machine learning fundamentals explained with real-world projects,9.3,9616,299,17,9,2,0,INDIA,English,advanced;tutorial;interview,0.031094009983361065,0.056856187290969896,0.5294117647058824,0.2222222222222222
C69,EdTech,Essential tools every data scientist should know,1.6,949,16,1,1,0,0,INDIA,English,case-study,0.01685985247629083,0.0625,1.0,0.0
C70,Programming;Marketing,"Statistics for data science - probability, distributions, and hypothesis testing",7.1,7495,143,8,5,2,0,INDIA,English,interview;practical,0.019079386257505004,0.055944055944055944,0.625,0.4
C71,Machine Learning,Feature engineering techniques for better machine learning models,1.4,1681,36,2,1,0,0,INDIA,English,deep-dive;beginner-friendly,0.021415823914336704,0.05555555555555555,0.5,0.0
C72,Travel,Web development trends and best practices,6.6,14209,230,5,2,0,0,INDIA,English,tips,0.016186923780702373,0.021739130434782608,0.4,0.0
C73,Statistics,Complete Python tutorial for data science beginners with practical examples,11.4,16921,418,24,13,5,0,INDIA,English,tips;how-to;practical,0.02470303173571302,0.05741626794258373,0.5416666666666666,0.38461538461538464
C74,Analytics,"Statistics for data science - probability, distributions, and hypothesis testing",13.5,4700,125,8,5,1,0,INDIA,English,tutorial;case-study,0.026595744680851064,0.064,0.625,0.2
C75,Travel;Career Advice,Digital marketing strategies for small businesses,9.6,17813,276,11,3,0,0,INDIA,English,tips;deep-dive;review,0.01549430191433223,0.03985507246376811,0.2727272727272727,0.0
C76,Design,UI/UX design principles for beginners,5.2,54398,926,24,12,3,0,INDIA,English,tutorial;beginner-friendly,0.017022684657524174,0.02591792656587473,0.5,0.25
C77,AI Tools,Machine learning fundamentals explained with real-world projects,11.3,23102,536,33,15,5,0,INDIA,English,interview,0.023201454419530778,0.061567164179104475,0.45454545454545453,0.3333333333333333
C78,Analytics,Machine learning fundamentals explained with real-world projects,5.6,683,12,1,1,0,0,INDIA,English,tutorial,0.017569546120058566,0.08333333333333333,1.0,0.0
C79,Crypto;Career Advice,UI/UX design principles for beginners,12.6,1183,19,1,1,0,0,INDIA,English,interview;practical,0.016060862214708368,0.05263157894736842,1.0,0.0
C80,Programming,Feature engineering techniques for better machine learning models,2.9,2943,86,5,2,0,0,INDIA,English,case-study;tips;beginner-friendly,0.029221882432891606,0.05813953488372093,0.4,0.0
C81,Career Advice,Data visualization masterclass using Python matplotlib and seaborn,12.4,2116,46,2,1,0,0,INDIA,English,review,0.021739130434782608,0.043478260869565216,0.5,0.0
C82,Career Advice;Finance,Machine learning fundamentals explained with real-world projects,10.4,2139,49,3,2,0,0,INDIA,English,tutorial,0.022907900888265546,0.061224489795918366,0.6666666666666666,0.0
C83,Programming;Travel,Complete Python tutorial for data science beginners with practical examples,2.2,7067,158,7,4,1,0,INDIA,English,deep-dive,0.022357435970001414,0.04430379746835443,0.5714285714285714,0.25
C84,Marketing,Productivity hacks for remote workers,4.9,2093,41,1,1,0,0,INDIA,English,interview,0.019589106545628284,0.024390243902439025,1.0,0.0
C85,Career Advice,Complete Python tutorial for data science beginners with practical examples,13.7,500,7,1,1,0,0,INDIA,English,case-study;advanced,0.014,0.14285714285714285,1.0,0.0
C86,Career Advice,Machine learning fundamentals explained with real-world projects,5.6,6822,138,7,4,1,0,INDIA,English,tutorial;how-to;practical,0.020228671943711522,0.050724637681159424,0.5714285714285714,0.25
C87,Fitness;Machine Learning,Personal finance tips for young professionals in India,9.0,7689,169,5,2,0,0,INDIA,English,advanced,0.02197945116400052,0.029585798816568046,0.4,0.0
C88,AI Tools,Complete Python tutorial for data science beginners with practical examples,7.1,2625,73,4,2,0,0,INDIA,English,deep-dive,0.02780952380952381,0.0547945205479452,0.5,0.0
C89,SQL;Gaming,Machine learning fundamentals explained with real-world projects,0.5,5212,121,5,2,0,0,INDIA,English,practical,0.023215656178050652,0.04132231404958678,0.4,0.0
C90,Productivity,Healthy cooking recipes for busy professionals,1.3,6863,113,4,1,0,0,INDIA,English,tutorial;practical,0.016465102724755938,0.035398230088495575,0.25,0.0
C91,Career Advice,Data visualization masterclass using Python matplotlib and seaborn,10.4,2460,39,2,1,0,0,INDIA,English,beginner-friendly,0.015853658536585366,0.05128205128205128,0.5,0.0
C92,Statistics;Design,"Statistics for data science - probability, distributions, and hypothesis testing",7.1,6124,138,7,3,1,0,INDIA,English,case-study,0.022534291312867407,0.050724637681159424,0.42857142857142855,0.3333333333333333
C93,Data Science,Machine learning fundamentals explained with real-world projects,3.9,4420,118,8,5,2,0,INDIA,English,advanced,0.02669683257918552,0.06779661016949153,0.625,0.4
C94,Data Science;Travel,SQL essentials for data analysis - from basics to advanced queries,1.0,12828,214,13,7,2,0,INDIA,English,tutorial;beginner-friendly;how-to,0.016682257561584035,0.06074766355140187,0.5384615384615384,0.2857142857142857
C95,Analytics;Finance,Data visualization masterclass using Python matplotlib and seaborn,4.5,10183,284,14,7,2,0,INDIA,English,how-to;review,0.027889619954826673,0.04929577464788732,0.5,0.2857142857142857
C96,Statistics;Finance,Machine learning fundamentals explained with real-world projects,13.0,1618,32,1,1,0,0,INDIA,English,tips;deep-dive;advanced,0.019777503090234856,0.03125,1.0,0.0
C97,Career Advice,Feature engineering techniques for better machine learning models,12.9,13427,289,21,11,4,0,INDIA,English,beginner-friendly,0.02152379533775229,0.0726643598615917,0.5238095238095238,0.36363636363636365
C98,Statistics,"Statistics for data science - probability, distributions, and hypothesis testing",3.4,11864,328,20,12,5,0,INDIA,English,beginner-friendly;tips,0.027646662171274445,0.06097560975609756,0.6,0.4166666666666667
C99,EdTech,Breaking into data science without a technical background,11.5,9385,234,12,6,2,0,INDIA,English,interview;case-study,0.024933404368673414,0.05128205128205128,0.5,0.3333333333333333
C100,Gaming;Programming,Personal finance tips for young professionals in India,13.4,13098,152,4,1,0,0,INDIA,English,review;beginner-friendly;tutorial,0.011604825164147198,0.02631578947368421,0.25,0.0
C101,EdTech;Gaming,Feature engineering techniques for better machine learning models,2.8,2982,61,4,2,0,0,INDIA,English,tutorial,0.0204560697518444,0.06557377049180328,0.5,0.0
C102,Finance;Analytics,Productivity hacks for remote workers,10.1,5417,88,4,1,0,0,INDIA,English,practical,0.016245154144360348,0.045454545454545456,0.25,0.0
C103,Finance,Personal finance tips for young professionals in India,7.2,9453,124,5,1,0,0,INDIA,English,advanced;how-to,0.013117528826827462,0.04032258064516129,0.2,0.0
C104,SQL,Complete Python tutorial for data science beginners with practical examples,13.2,36704,981,74,43,17,0,INDIA,English,deep-dive,0.02672733217088056,0.07543323139653414,0.581081081081081,0.3953488372093023
C105,Career Advice;Travel,SQL essentials for data analysis - from basics to advanced queries,13.7,1362,20,1,1,0,0,INDIA,English,beginner-friendly;interview,0.014684287812041116,0.05,1.0,0.0
C106,EdTech;Cooking,"Statistics for data science - probability, distributions, and hypothesis testing",5.8,4011,102,6,3,1,0,INDIA,English,advanced,0.025430067314884067,0.058823529411764705,0.5,0.3333333333333333
C107,Health;SQL,Personal finance tips for young professionals in India,6.1,6745,95,3,1,0,0,INDIA,English,case-study;how-to,0.014084507042253521,0.031578947368421054,0.3333333333333333,0.0
C108,AI Tools,Essential tools every data scientist should know,6.7,919,21,1,1,0,0,INDIA,English,deep-dive;interview;tips,0.022850924918389554,0.047619047619047616,1.0,0.0
C109,Web Dev;EdTech,Gaming industry insights and career opportunities,12.4,3462,39,1,1,0,0,INDIA,English,tutorial;how-to,0.011265164644714038,0.02564102564102564,1.0,0.0
C110,Programming;Travel,"Statistics for data science - probability, distributions, and hypothesis testing",11.3,100000,2629,157,71,29,3,INDIA,English,how-to;tutorial,0.02629,0.0597185241536706,0.45222929936305734,0.4084507042253521
C111,Career Advice,End-to-end data science project walkthrough from data to deployment,9.3,3868,79,4,2,0,0,INDIA,English,tutorial;case-study;practical,0.020423991726990692,0.05063291139240506,0.5,0.0
C112,Career Advice,Career roadmap for aspiring data scientists in 2024,7.6,6564,168,10,5,1,0,INDIA,English,beginner-friendly;deep-dive;tutorial,0.025594149908592323,0.05952380952380952,0.5,0.2
C113,Health;AI Tools,UI/UX design principles for beginners,11.7,1481,17,1,1,0,0,INDIA,English,beginner-friendly,0.011478730587440918,0.058823529411764705,1.0,0.0
C114,Productivity;Machine Learning,Personal finance tips for young professionals in India,4.9,3164,46,1,1,0,0,INDIA,English,practical;beginner-friendly;interview,0.014538558786346398,0.021739130434782608,1.0,0.0
C115,SQL,"Statistics for data science - probability, distributions, and hypothesis testing",10.8,10526,287,18,10,4,0,INDIA,English,tutorial,0.027265817974539235,0.0627177700348432,0.5555555555555556,0.4
C116,Data Science,Essential tools every data scientist should know,0.9,48043,1230,87,59,30,2,INDIA,English,practical;tips,0.02560206481693483,0.07073170731707316,0.6781609195402298,0.5084745762711864
C117,Data Science;Crypto,End-to-end data science project walkthrough from data to deployment,1.5,12021,256,14,8,2,0,INDIA,English,deep-dive;how-to,0.021296065219199734,0.0546875,0.5714285714285714,0.25
C118,Statistics,SQL essentials for data analysis - from basics to advanced queries,10.5,1066,18,1,1,0,0,INDIA,English,tutorial,0.016885553470919325,0.05555555555555555,1.0,0.0
C119,Productivity,Web development trends and best practices,2.3,11763,164,5,1,0,0,INDIA,English,practical,0.013942021593131003,0.03048780487804878,0.2,0.0
C120,EdTech,SQL essentials for data analysis - from basics to advanced queries,6.9,3794,102,8,4,1,0,INDIA,English,practical,0.02688455455983131,0.0784313725490196,0.5,0.25
C121,Statistics,Complete Python tutorial for data science beginners with practical examples,2.0,5565,97,5,3,1,0,INDIA,English,tips,0.0174303683737646,0.05154639175257732,0.6,0.3333333333333333
C122,Fitness;Career Advice,UI/UX design principles for beginners,10.2,2245,33,1,1,0,0,INDIA,English,review,0.014699331848552339,0.030303030303030304,1.0,0.0
C123,Health,Cryptocurrency basics and investment strategies,8.5,6298,115,4,1,0,0,INDIA,English,practical,0.018259765004763416,0.034782608695652174,0.25,0.0
C124,Programming,Feature engineering techniques for better machine learning models,1.4,2010,54,3,1,0,0,INDIA,English,review;practical;interview,0.026865671641791045,0.05555555555555555,0.3333333333333333,0.0
C125,Fitness;Data Science,Fitness routines for desk workers,7.6,1074,12,1,1,0,0,INDIA,English,case-study,0.0111731843575419,0.08333333333333333,1.0,0.0
C126,Data Science,Machine learning fundamentals explained with real-world projects,0.9,500,9,1,1,0,0,INDIA,English,how-to,0.018,0.1111111111111111,1.0,0.0
C127,Analytics,Career roadmap for aspiring data scientists in 2024,4.7,6551,174,8,3,1,0,INDIA,English,tutorial;beginner-friendly,0.026560830407571363,0.04597701149425287,0.375,0.3333333333333333
C128,Fitness,Personal finance tips for young professionals in India,9.6,500,5,1,1,0,0,INDIA,English,interview;deep-dive;practical,0.01,0.2,1.0,0.0
C129,EdTech,Breaking into data science without a technical background,10.4,5441,129,8,4,1,0,INDIA,English,deep-dive,0.023708877044660907,0.06201550387596899,0.5,0.25
C130,AI Tools,Complete Python tutorial for data science beginners with practical examples,7.4,1445,31,1,1,0,0,INDIA,English,how-to;review,0.021453287197231833,0.03225806451612903,1.0,0.0
C131,Crypto,Digital marketing strategies for small businesses,8.6,22853,391,15,6,1,0,INDIA,English,tutorial,0.017109351069881415,0.03836317135549872,0.4,0.16666666666666666
C132,Gaming,Gaming industry insights and career opportunities,9.8,15610,230,7,3,0,0,INDIA,English,review,0.014734144778987828,0.030434782608695653,0.42857142857142855,0.0
C133,Data Science,"Statistics for data science - probability, distributions, and hypothesis testing",10.5,8149,181,12,8,3,0,INDIA,English,tutorial,0.022211314271689778,0.06629834254143646,0.6666666666666666,0.375
C134,Marketing,Productivity hacks for remote workers,4.5,8430,134,3,1,0,0,INDIA,English,how-to,0.01589561091340451,0.022388059701492536,0.3333333333333333,0.0
C135,Data Science,Complete Python tutorial for data science beginners with practical examples,13.7,676,14,1,1,0,0,INDIA,English,tutorial;case-study,0.020710059171597635,0.07142857142857142,1.0,0.0
C136,AI Tools;Cooking,"Statistics for data science - probability, distributions, and hypothesis testing",10.2,16390,338,19,9,4,0,INDIA,English,review,0.020622330689444784,0.05621301775147929,0.47368421052631576,0.4444444444444444
C137,Statistics;Crypto,Essential tools every data scientist should know,11.7,6135,127,8,5,1,0,INDIA,English,advanced;beginner-friendly,0.020700896495517523,0.06299212598425197,0.625,0.2
C138,Career Advice,Career roadmap for aspiring data scientists in 2024,9.5,1179,23,1,1,0,0,INDIA,English,beginner-friendly;tips,0.019508057675996608,0.043478260869565216,1.0,0.0
C139,Python;Health,Essential tools every data scientist should know,3.0,500,10,1,1,0,0,INDIA,English,beginner-friendly;interview,0.02,0.1,1.0,0.0
C140,EdTech;Web Dev,Data visualization masterclass using Python matplotlib and seaborn,1.7,10462,254,14,8,3,0,INDIA,English,advanced,0.024278340661441408,0.05511811023622047,0.5714285714285714,0.375
C141,Python,Data visualization masterclass using Python matplotlib and seaborn,8.5,4802,111,6,3,1,0,INDIA,English,advanced;how-to,0.02311536859641816,0.05405405405405406,0.5,0.3333333333333333
C142,Statistics,Essential tools every data scientist should know,7.5,18716,379,17,10,4,0,INDIA,English,tips,0.02025005343022013,0.044854881266490766,0.5882352941176471,0.4
C143,Machine Learning,Machine learning fundamentals explained with real-world projects,10.6,2134,50,3,1,0,0,INDIA,English,interview,0.023430178069353328,0.06,0.3333333333333333,0.0
C144,Travel,Budget travel guide across India,2.7,2252,43,1,1,0,0,INDIA,English,interview;case-study,0.019094138543516874,0.023255813953488372,1.0,0.0
C145,Data Science,Machine learning fundamentals explained with real-world projects,10.8,8490,199,12,7,2,0,INDIA,English,practical;tips,0.023439340400471142,0.06030150753768844,0.5833333333333334,0.2857142857142857
C146,Marketing;SQL,Gaming industry insights and career opportunities,13.3,6185,99,4,1,0,0,INDIA,English,beginner-friendly,0.016006467259498787,0.04040404040404041,0.25,0.0
C147,Data Science,Career roadmap for aspiring data scientists in 2024,13.6,17326,399,21,14,5,0,INDIA,English,deep-dive;case-study;practical,0.023028973796606258,0.05263157894736842,0.6666666666666666,0.35714285714285715
C148,Analytics;Travel,Career roadmap for aspiring data scientists in 2024,11.9,769,12,1,1,0,0,INDIA,English,advanced;review,0.015604681404421327,0.08333333333333333,1.0,0.0
C149,Career Advice,Complete Python tutorial for data science beginners with practical examples,1.7,635,10,1,1,0,0,INDIA,English,beginner-friendly;review;advanced,0.015748031496062992,0.1,1.0,0.0
C150,Data Science,Data visualization masterclass using Python matplotlib and seaborn,4.3,3538,86,5,3,0,0,INDIA,English,how-to;practical,0.02430751837196156,0.05813953488372093,0.6,0.0
C151,Web Dev;EdTech,Digital marketing strategies for small businesses,3.0,14246,209,2,1,0,0,INDIA,English,review;interview,0.014670784781693107,0.009569377990430622,0.5,0.0
C152,SQL,Feature engineering techniques for better machine learning models,5.8,7983,231,19,9,3,0,INDIA,English,tutorial;tips,0.02893649004133784,0.08225108225108226,0.47368421052631576,0.3333333333333333
C153,SQL,Data visualization masterclass using Python matplotlib and seaborn,9.1,29122,656,46,27,10,0,INDIA,English,case-study,0.022525925417210355,0.0701219512195122,0.5869565217391305,0.37037037037037035
C154,Analytics;Marketing,Breaking into data science without a technical background,11.0,11861,304,19,8,3,0,INDIA,English,tips;review,0.025630216676502823,0.0625,0.42105263157894735,0.375
C155,Machine Learning;Cooking,End-to-end data science project walkthrough from data to deployment,6.7,6477,165,11,6,2,0,INDIA,English,beginner-friendly,0.025474756831866605,0.06666666666666667,0.5454545454545454,0.3333333333333333
C156,Career Advice,Complete Python tutorial for data science beginners with practical examples,7.0,2343,39,2,1,0,0,INDIA,English,beginner-friendly;interview,0.016645326504481434,0.05128205128205128,0.5,0.0
C157,Productivity,UI/UX design principles for beginners,10.2,3694,62,2,1,0,0,INDIA,English,practical,0.016783974011911208,0.03225806451612903,0.5,0.0
C158,Python,Machine learning fundamentals explained with real-world projects,12.7,3512,85,4,1,0,0,INDIA,English,deep-dive;beginner-friendly,0.024202733485193622,0.047058823529411764,0.25,0.0
